Image,Accuracy,Sensitivity/Recall,Specificity,Precision,F1 Score
1.pgm,0.12918888888888888,0.15881458966565348,0.12782968437688838,0.008284993194941793,0.01574842704107903
10_gt.pgm,0.16336666666666666,0.1220977874897569,0.16511657535991847,0.00616296704811802,0.01173366933102335
11_gt.pgm,0.16124444444444444,0.10863470703672554,0.16577365867786548,0.011086633096818494,0.020119940808432202
12_gt.pgm,0.16365555555555555,0.05865921787709497,0.16800509141402453,0.0029121770603652702,0.005548876352538611
13_gt.pgm,0.16277777777777777,0.18895439031957803,0.16075831198985088,0.01707317073170732,0.03131668937855141
14_gt.pgm,0.1211,0.06452343219379669,0.1240199572344975,0.003787174103702129,0.007154422562789472
15_gt.pgm,0.2084777777777778,0.07379851196460889,0.2163548049443118,0.005477775455983761,0.01019855219463395
16_gt.pgm,0.1073,0.14146341463414633,0.10558375634517767,0.007882882882882882,0.01493360797439953
17_gt.pgm,0.16097777777777778,0.15647869134739562,0.16122267263397147,0.01005254424778761,0.018891458566120106
18_gt.pgm,0.16373333333333334,0.14768640613761688,0.16451315988768364,0.008517110266159696,0.016105417276720352
19_gt.pgm,0.1507111111111111,0.11134620470774927,0.15243739778935037,0.005728124957481258,0.01089572711509097
2.pgm,0.12895555555555555,0.08048856874412778,0.13265721051498552,0.007037625280683499,0.012943516909672383
20_gt.pgm,0.14015555555555556,0.05249529190207156,0.14449808750816306,0.0030305501195912153,0.005730290882927331
3.pgm,0.1439777777777778,0.0685077004779607,0.14727369714961616,0.003496313963573287,0.00665308543283736
4.pgm,0.1340222222222222,0.33392004023133015,0.12478058193738883,0.0173329678791913,0.03295530684666352
5.pgm,0.1542888888888889,0.10998463901689708,0.15595135166292004,0.004865783214407068,0.009319276324352466
6.pgm,0.15302222222222223,0.05880560633759903,0.15658802094144236,0.0026318660339278896,0.005038243663038087
7.pgm,0.15888888888888889,0.0963882618510158,0.1621245763702232,0.005920359381065942,0.011155524205136243
8.pgm,0.15475555555555556,0.2388663967611336,0.15063926993857882,0.013576253062439935,0.02569225646148723
9.pgm,0.17726666666666666,0.059786166266637575,0.1835700153365255,0.003913670708888603,0.007346435370137008
,0.15189333333333332,0.1215850012481448,0.15348489410066918,0.007438547134485847,0.01397403623488153
